Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-03-25,Sabtu,3,2023,2,1,0,82,1495000
2023-03-25,Sabtu,3,2023,3,1,0,66,1709000
2023-03-25,Sabtu,3,2023,4,1,0,122,1176000
2023-03-25,Sabtu,3,2023,5,1,0,70,1601000
2023-03-26,Minggu,3,2023,1,1,0,80,156000
2023-03-26,Minggu,3,2023,2,1,0,82,566000
2023-03-26,Minggu,3,2023,3,1,0,66,150000
2023-03-26,Minggu,3,2023,4,1,0,122,794000
2023-03-26,Minggu,3,2023,5,1,0,70,163000
2023-03-27,Senin,3,2023,1,0,0,80,676000
2023-03-27,Senin,3,2023,2,0,0,82,1560000
2023-03-27,Senin,3,2023,3,0,0,66,1587000
2023-03-27,Senin,3,2023,4,0,0,122,1655000
2023-03-27,Senin,3,2023,5,0,0,70,1873000
2023-03-28,Selasa,3,2023,1,0,0,80,868000
2023-03-28,Selasa,3,2023,2,0,0,82,1590000
2023-03-28,Selasa,3,2023,3,0,0,66,1684000
2023-03-28,Selasa,3,2023,4,0,0,122,1666000
2023-03-28,Selasa,3,2023,5,0,0,70,1849000
2023-03-29,Rabu,3,2023,1,0,0,80,870000
2023-03-29,Rabu,3,2023,2,0,0,82,1630000
2023-03-29,Rabu,3,2023,3,0,0,66,1646000
2023-03-29,Rabu,3,2023,4,0,0,122,1661000
2023-03-29,Rabu,3,2023,5,0,0,70,1861000
2023-03-30,Kamis,3,2023,1,0,0,80,753000
2023-03-30,Kamis,3,2023,2,0,0,82,1655000
2023-03-30,Kamis,3,2023,3,0,0,66,1739000
2023-03-30,Kamis,3,2023,4,0,0,122,1541000
2023-03-30,Kamis,3,2023,5,0,0,70,1830000
2023-03-31,Jumat,3,2023,1,0,0,80,800000
2023-03-31,Jumat,3,2023,2,0,0,82,1650000
2023-03-31,Jumat,3,2023,3,0,0,66,1604000
2023-03-31,Jumat,3,2023,4,0,0,122,1581000
2023-03-31,Jumat,3,2023,5,0,0,70,1920000
2023-05-01,Senin,5,2023,1,0,0,80,661000
2023-05-01,Senin,5,2023,2,0,0,82,1110000
